time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1625400605,65.35,175.0,21.3,16.083052,57.567028,2.7897282,1528.0,52.049995,6.0,595
1625571907,65.15,175.0,21.2,15.8819275,57.704998,2.7878299,1525.0,52.015095,6.0,591
1625922168,65.85,175.0,21.5,16.188116,57.494953,2.8078017,1535.0,52.382324,6.0,567
1626003155,65.3,175.0,21.3,15.835033,57.737167,2.7959177,1527.0,52.163807,6.0,575
1626003175,65.3,175.0,21.3,15.835033,57.737167,2.7959177,1527.0,52.163807,6.0,575
1626175509,65.55,175.0,21.4,16.127348,57.53664,2.7968874,1531.0,52.181637,6.0,584
1626258981,65.85,175.0,21.5,15.9815855,57.63663,2.8148165,1535.0,52.511307,6.0,547
1626436179,65.85,175.0,21.5,16.126156,57.537457,2.8099062,1535.0,52.421017,6.0,561
1626436184,65.95,175.0,21.5,16.204811,57.483498,2.8115566,1536.0,52.451366,6.0,561
1626693212,66.35,175.0,21.6,16.66055,57.170864,2.8132486,1542.0,52.482475,6.0,575
1626781309,65.8,175.0,21.4,16.283094,57.4298,2.8024168,1534.0,52.28331,6.0,580
1626864188,66.1,175.0,21.5,16.291489,57.424038,2.8150847,1539.0,52.51624,6.0,558
1626952499,65.15,175.0,21.2,15.777553,57.7766,2.7913375,1525.0,52.07959,6.0,581
1627037310,65.0,175.0,21.2,15.479193,57.981274,2.7948241,1522.0,52.1437,5.0,564
1627128897,64.75,175.0,21.1,15.402432,58.03393,2.7864888,1519.0,51.990437,5.0,576
1627383836,65.7,175.0,21.4,15.65582,57.860107,2.8193555,1533.0,52.59477,6.0,527
1627469995,65.9,175.0,21.5,15.876595,57.708656,2.8205523,1536.0,52.61677,6.0,533
1627557685,65.55,175.0,21.4,15.94062,57.664734,2.8032007,1531.0,52.297726,6.0,566
1627731524,65.4,175.0,21.3,15.644459,57.8679,2.8066876,1528.0,52.36184,6.0,549
1627989074,66.2,175.0,21.6,16.236063,57.462063,2.821295,1540.0,52.63043,6.0,545
1628073998,65.65,175.0,21.4,15.937054,57.667183,2.8076572,1532.0,52.37967,6.0,558
