com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
178.0,4.4444447,61.22222,0.0,0.0,"62 kcal, por 130g",,fatsecret-6403,130,376.0,3.4,4.28,2023-09-22 16:09:46.782,2018-09-22 12:47:19.871,1.794,2.3,1.36,2.3333333,Couve-Flor Cozida (de Couve-Flor Fresca),1.76,,1.6153846,62.0,"xícara, pedaços",,xoyixJvqZs,g,0.785,,com.sec.android.app.shealth,5.2,2.096774,65cb35b3-4a58-4fe4-a6e8-1dd93ccce015,1,
,,,,,"148 kcal, por 1 garrafa (355ml)",,fatsecret-9515569,355,,0.0,0.0,2018-09-15 13:32:18.271,2018-09-15 13:32:18.271,,0.0,,,Cerveja(Corona),,,,148.0,porção,,zjIwstRrv1,ml,0.0,0.0,com.sec.android.app.shealth,13.0,0.006756757,46d59d29-27fb-4094-8a6b-cc223137a9c7,1,
,,,,24.0,"166 kcal, por 1 porção (40g)",,fatsecret-5161816,40,800.0,0.0,12.0,2018-09-11 10:40:11.508,2018-09-11 10:40:11.508,,14.0,,,Salame Italiano(Sadia),,,,166.0,porção,,zjIwstRrv1,g,4.4,0.0,com.sec.android.app.shealth,0.8,0.24096386,d6abf493-9ee5-4e00-81c9-38b6db22efba,1,
,0.0,0.0,0.0,0.0,"15 kcal, por 1 colher de sopa (12g)",,fatsecret-9870784,12,143.0,,0.0,2023-10-03 22:58:34.353,2018-09-18 13:08:31.841,,0.0,,0.0,Ketchup Tradicional(Hemmer),,,0.0,15.0,porção,,xoyixJvqZs,g,,,com.sec.android.app.shealth,3.6,0.8,2095cb95-4857-48e0-97b9-4e159a360fde,1,
,,,,0.0,"121 kcal, por 1 unidade (50g)",,fatsecret-4652260,50,540.0,0.0,9.5,2018-09-07 20:39:35.645,2018-09-07 20:39:35.645,,6.8,,,Salsicha(Sadia),,,,121.0,porção,,zjIwstRrv1,g,3.0,0.0,com.sec.android.app.shealth,2.0,0.41322315,ce2f922b-d610-48e3-91b1-9e5887bc3f7b,1,
30.0,0.5555556,0.0,0.0,5.0,"395 kcal, por 122g",,fatsecret-2842,20,192.0,0.1,4.93,2023-10-05 16:30:36.020,2018-09-08 16:35:48.959,2.325,1.74,0.932,1.8333334,Enroladinho de Salsicha,0.29,,2.3846154,65.0,unidade,,xoyixJvqZs,g,1.528,,com.sec.android.app.shealth,3.33,0.30769232,fc3c9761-b05b-46f1-a31f-e2d3d8f06a84,1,
181.0,3.0,3.2222223,0.0,21.0,"301 kcal, por 100g",,fatsecret-4888,88,610.0,1.4,12.14,2023-09-09 23:49:51.304,2018-09-16 01:47:32.401,5.269,10.64,1.277,11.833334,Pizza com Carne,1.77,,11.615385,265.0,pedaço (1/8 de 30 cm de diâmetro),,xoyixJvqZs,g,4.832,,com.sec.android.app.shealth,27.68,0.33226836,da6e68f6-8d12-4dad-8b4d-6f333ea1f156,1,
,0.0,0.0,0.0,,"38 kcal, por 1 copo (200ml)",,fatsecret-7258580,200,17.0,,0.0,2023-09-16 16:22:56.005,2018-09-08 17:06:38.457,,0.0,,0.0,Guaraná(Fruki),9.8,,0.0,38.0,porção,,xoyixJvqZs,ml,,,com.sec.android.app.shealth,9.8,,98593785-b77d-4509-9347-44ac2d63999e,1,
,,,,0.0,"80 kcal, por 1 1/2 fatias (30g)",,fatsecret-16878326,30,319.0,0.0,6.5,2018-09-07 20:39:35.644,2018-09-07 20:39:35.644,,3.3,,,Sandwich-In Sabor Cheddar(Polenghi),,,,80.0,porção,,zjIwstRrv1,g,4.1,0.0,com.sec.android.app.shealth,2.1,0.375,fdcbcd1d-7013-4b2b-bf2d-dc48476b7eb2,1,
,,,,0.0,"126 kcal, por 4 quadradinhos (25g)",,fatsecret-4407730,25,21.0,0.0,6.1,2018-09-08 17:06:38.458,2018-09-08 17:06:38.458,,1.3,,,Diamante Negro (25g)(Lacta),16.0,,,126.0,porção,,zjIwstRrv1,g,3.6,0.0,com.sec.android.app.shealth,17.0,0.1984127,29fc41c1-4892-4077-a74b-f905fd0ceb38,1,
