com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
9004,5729755,,0,2016-08-04 00:15:38.489,2016-08-03 03:04:15.477,-1,180000,0,5982.139,294.51,71234415-bd7f-4f6d-84b8-cc86bf5ee543.extra_data.json,f1/7zwjou1,136667,com.sec.android.app.shealth,5593088,22740000,71234415-bd7f-4f6d-84b8-cc86bf5ee543,1470182400000,
3304,1969955,,0,2017-12-31 01:59:14.312,2017-12-30 02:02:58.976,-1,480000,0,2801.8406,138.04997,12ce9edd-9549-4e83-8db4-49d28138a585.extra_data.json,n2OTyB17mi,46156,com.sec.android.app.shealth,1923799,35460000,12ce9edd-9549-4e83-8db4-49d28138a585,1514592000000,
6536,4142038,,0,2016-10-15 14:21:59.803,2016-10-14 03:00:03.244,-1,180000,0,4402.707,212.13004,60847625-f127-46be-a723-446aa5a1f780.extra_data.json,f1/7zwjou1,73673,com.sec.android.app.shealth,4068365,24780000,60847625-f127-46be-a723-446aa5a1f780,1476403200000,
6476,3968488,,0,2017-07-04 02:35:01.263,2017-07-03 03:00:33.013,-1,240000,0,5431.2104,289.5899,ddc404bd-9b20-446a-8e67-cbb7e20742a3.extra_data.json,n2OTyB17mi,200236,com.sec.android.app.shealth,3768252,30840000,ddc404bd-9b20-446a-8e67-cbb7e20742a3,1499040000000,
6220,3899002,,0,2017-03-25 02:57:25.224,2017-03-24 03:00:00.278,-1,180000,0,5365.4907,282.75998,7a9e51d2-3264-4fc8-841f-bf482ddad11b.extra_data.json,n2OTyB17mi,250893,com.sec.android.app.shealth,3648109,32940000,7a9e51d2-3264-4fc8-841f-bf482ddad11b,1490313600000,
4266,2420862,,0,2017-09-02 02:31:50.283,2017-09-01 03:00:00.774,-1,420000,0,3918.8704,220.90004,c2c1267d-bd54-49e2-bad7-aadadb850350.extra_data.json,n2OTyB17mi,362081,com.sec.android.app.shealth,2058781,35460000,c2c1267d-bd54-49e2-bad7-aadadb850350,1504224000000,
3930,2541382,,0,2016-06-30 01:31:38.561,2016-06-29 03:00:45.189,-1,120000,0,2684.2363,131.31999,d0a753b3-4ad7-4524-9c02-750b7c7526b2.extra_data.json,f1/7zwjou1,69948,com.sec.android.app.shealth,2471434,31380000,d0a753b3-4ad7-4524-9c02-750b7c7526b2,1467158400000,
5246,3279322,,0,2017-03-14 02:24:39.162,2017-03-13 03:00:01.563,-1,120000,0,4676.5093,252.10005,82a83df2-d31c-4beb-963a-d0d95910b1c3.extra_data.json,n2OTyB17mi,235509,com.sec.android.app.shealth,3043813,36120000,82a83df2-d31c-4beb-963a-d0d95910b1c3,1489363200000,
12045,7150510,,0,2017-08-26 01:01:00.397,2017-08-25 03:00:00.580,-1,2496899,0,10340.203,569.36896,d16d152c-7135-443c-baea-f7879fb2215a.extra_data.json,n2OTyB17mi,349787,com.sec.android.app.shealth,6800723,25500000,d16d152c-7135-443c-baea-f7879fb2215a,1503619200000,
0,0,,0,2017-01-09 20:08:03.036,2017-01-09 20:08:03.036,-1,0,0,0.0,0.0,215096ca-1568-40da-9913-ddc797b9b9fe.extra_data.json,n2OTyB17mi,0,com.sec.android.app.shealth,0,-1,215096ca-1568-40da-9913-ddc797b9b9fe,1481673600000,
0,0,,0,2017-01-09 20:08:03.278,2017-01-09 20:08:03.278,-1,0,0,0.0,0.0,8df7fb30-5816-4d3f-a743-e67760ce4316.extra_data.json,n2OTyB17mi,0,com.sec.android.app.shealth,0,-1,8df7fb30-5816-4d3f-a743-e67760ce4316,1481932800000,
2412,1525500,,0,2017-01-10 01:45:26.523,2017-01-09 19:52:05.084,-1,52692,0,2254.0796,108.880005,9ee42334-d0d1-41f4-8934-50beef12bd4c.extra_data.json,n2OTyB17mi,124800,com.sec.android.app.shealth,1400700,64320000,9ee42334-d0d1-41f4-8934-50beef12bd4c,1483920000000,
8688,5158089,,0,2017-05-08 00:54:01.767,2017-05-07 03:01:00.439,-1,1438917,0,7474.2437,412.7816,4051dcd5-71f0-463f-9768-ece79272915d.extra_data.json,n2OTyB17mi,239281,com.sec.android.app.shealth,4918808,29220000,4051dcd5-71f0-463f-9768-ece79272915d,1494115200000,
6340,4054695,,0,2016-06-16 21:19:51.288,2016-06-16 21:19:51.288,-1,240000,0,4275.284,211.66,2c094a74-7530-4c14-bdf4-fe15d319d752.extra_data.json,f1/7zwjou1,143819,com.sec.android.app.shealth,3910876,29040000,2c094a74-7530-4c14-bdf4-fe15d319d752,1464220800000,
3825,2442039,,0,2017-04-09 23:35:01.207,2017-04-09 03:00:00.228,-1,60000,0,3310.84,172.70998,4bc52c80-c14c-41cb-8a14-06a47d9fbf4a.extra_data.json,n2OTyB17mi,109889,com.sec.android.app.shealth,2332150,27480000,4bc52c80-c14c-41cb-8a14-06a47d9fbf4a,1491696000000,
11011,6599900,,0,2017-06-03 02:35:16.289,2017-06-02 03:00:00.357,-1,240000,0,10356.9795,587.4701,37998d85-0ac6-480a-8cea-b987805d5f85.extra_data.json,n2OTyB17mi,780239,com.sec.android.app.shealth,5819661,22860000,37998d85-0ac6-480a-8cea-b987805d5f85,1496361600000,
9132,5602313,,0,2016-11-24 01:18:34.325,2016-11-23 02:00:01.842,-1,240000,0,6560.822,341.38995,98451758-8a5c-48bf-a73e-596929049186.extra_data.json,f1/7zwjou1,398280,com.sec.android.app.shealth,5204033,24840000,98451758-8a5c-48bf-a73e-596929049186,1479859200000,
16518,10581180,,0,2016-09-18 01:10:18.231,2016-09-17 03:00:56.657,-1,3189283,0,11148.814,538.42236,38d98a22-740b-4db5-9441-a1f504df6f38.extra_data.json,f1/7zwjou1,165232,com.sec.android.app.shealth,10415948,28860000,38d98a22-740b-4db5-9441-a1f504df6f38,1474070400000,
351,228510,,0,2017-03-09 01:16:26.373,2017-03-08 03:00:01.487,-1,45085,0,290.31998,15.48,0bb2bd61-5ba8-4205-95ad-2e96b7e59d6e.extra_data.json,n2OTyB17mi,8400,com.sec.android.app.shealth,220110,39000000,0bb2bd61-5ba8-4205-95ad-2e96b7e59d6e,1488931200000,
2850,1899615,,0,2019-09-26 15:28:43.745,2019-09-26 13:06:54.327,100,60000,31,2168.5696,116.88,28fbd323-93d6-4147-a925-c3f9827eab1c.extra_data.json,yfgkJHa6g4,2000,com.sec.android.app.shealth,1897615,18660000,28fbd323-93d6-4147-a925-c3f9827eab1c,1567209600000,
6171,4007341,,0,2016-08-08 01:38:59.766,2016-08-07 03:00:06.414,-1,120000,0,4193.7456,213.63,c427adc8-47b0-4a47-9f5f-87f397b6abe1.extra_data.json,f1/7zwjou1,136800,com.sec.android.app.shealth,3870541,28500000,c427adc8-47b0-4a47-9f5f-87f397b6abe1,1470528000000,
1934,1259065,,0,2019-09-26 15:28:59.318,2019-09-26 13:06:54.381,100,120000,20,1545.0901,82.05999,1ac39060-928a-4583-823a-64f7d01303af.extra_data.json,yfgkJHa6g4,15200,com.sec.android.app.shealth,1243865,25740000,1ac39060-928a-4583-823a-64f7d01303af,1567296000000,
6047,3800341,,0,2016-11-17 21:09:01.989,2016-11-17 02:00:09.367,-1,180000,0,4113.9463,201.69995,296081b2-ee86-4ef5-bfc8-e04c59398647.extra_data.json,f1/7zwjou1,88822,com.sec.android.app.shealth,3711519,22080000,296081b2-ee86-4ef5-bfc8-e04c59398647,1479340800000,
14711,8953895,,0,2019-09-26 15:29:01.289,2019-09-26 13:06:54.739,100,783694,149,11320.06,655.41504,5e144d46-80b4-454d-baeb-edbe7c8a94a8.extra_data.json,yfgkJHa6g4,185001,com.sec.android.app.shealth,8768894,25740000,5e144d46-80b4-454d-baeb-edbe7c8a94a8,1567728000000,
1785,1127316,,0,2016-06-16 21:19:49.885,2016-06-16 21:19:49.885,-1,60000,0,1313.6082,69.52999,f63bd9f4-eecb-45bb-9290-12925d9a492d.extra_data.json,f1/7zwjou1,94800,com.sec.android.app.shealth,1032516,34020000,f63bd9f4-eecb-45bb-9290-12925d9a492d,1463875200000,
3922,2547685,,0,2016-08-23 00:46:24.508,2016-08-22 03:00:10.789,-1,120000,0,2710.2217,130.85994,1f420a0d-efef-4d9a-bcdb-49cc65c76f7a.extra_data.json,f1/7zwjou1,63909,com.sec.android.app.shealth,2483776,9480000,1f420a0d-efef-4d9a-bcdb-49cc65c76f7a,1471824000000,
5147,3332362,,0,2019-09-26 15:29:06.294,2019-09-26 13:06:54.781,100,180000,55,3937.2405,216.14003,83775b1c-c9ca-4d40-8f50-df4dbf85cdee.extra_data.json,yfgkJHa6g4,20400,com.sec.android.app.shealth,3311962,31200000,83775b1c-c9ca-4d40-8f50-df4dbf85cdee,1567814400000,
10679,6417142,,0,2019-09-26 15:29:09.113,2019-09-26 13:06:55.148,100,669542,106,8220.611,479.22986,10f041a0-0e77-4ce1-b7d8-fe161233716b.extra_data.json,yfgkJHa6g4,125341,com.sec.android.app.shealth,6291801,22860000,10f041a0-0e77-4ce1-b7d8-fe161233716b,1568332800000,
9567,5761248,,0,2017-01-20 04:12:53.460,2017-01-19 02:00:02.320,-1,420000,0,8425.169,427.70007,08ab1250-f467-4180-80c2-80e90d4f6752.extra_data.json,n2OTyB17mi,582919,com.sec.android.app.shealth,5178329,34020000,08ab1250-f467-4180-80c2-80e90d4f6752,1484784000000,
6609,4112901,,0,2019-09-26 15:29:10.119,2019-09-26 13:06:55.738,100,300000,68,5060.29,279.90002,3892295e-41da-4176-8b52-f3726e0d03c4.extra_data.json,yfgkJHa6g4,9600,com.sec.android.app.shealth,4103301,25260000,3892295e-41da-4176-8b52-f3726e0d03c4,1568851200000,
