com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2018-10-08 17:00:00.000,,,2018-10-08 17:01:02.523,2018-10-08 17:01:02.523,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,ef259653-448a-447f-acba-eb86b9d5fdfc,meal_auto_filled,
2018-09-15 15:00:00.000,1.0,,2018-09-16 01:45:18.709,2018-09-16 01:45:18.709,100002,Pastel de Carne,120001,168.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,f900fec4-35da-49d9-aa64-dfa7581997f1,bd6f4c4c-09fe-4769-86b3-5b1a200e5682,
2018-09-11 15:00:00.000,150.0,,2018-09-12 11:21:24.397,2018-09-12 11:21:24.397,100002,Cenouras Cozidas,120002,81.456955,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,6477c117-eea0-4b7e-b247-999671ec895a,054e9386-d447-4df9-848d-46014225be77,
2019-01-05 21:00:00.000,1.0,,2019-01-05 21:01:00.339,2019-01-05 21:01:00.339,100003,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,8d34bb3b-c92b-4fb1-973a-c653f831f713,meal_auto_filled,
2018-11-04 12:00:00.000,1.0,,2018-11-04 11:03:01.350,2018-11-04 11:03:01.350,100001,,-1,1093.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,b77e10e8-b38d-495c-9b4c-849a10449653,meal_auto_filled,
2018-09-15 15:00:00.000,40.0,,2018-09-16 01:45:18.706,2018-09-16 01:45:18.706,100002,Couve-Flor Cozida (Cozinhado sem Gordura Adicionada),120002,8.888889,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,cb868298-19d1-4e04-b571-ff63d682e072,212a8117-eb22-46ad-8185-8d751879c7aa,
2019-01-10 21:00:00.000,1.0,,2019-01-10 21:00:01.251,2019-01-10 21:00:01.251,100003,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,c671bb0d-2f7d-4cf2-9e20-c8022d23c4c0,meal_auto_filled,
2019-01-05 16:00:00.000,1.0,,2019-01-05 16:00:40.695,2019-01-05 16:00:40.695,100002,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,2509db93-a5e8-475a-b6f3-c5e2327add3c,meal_auto_filled,
2019-01-15 16:00:00.000,1.0,,2019-01-15 16:00:35.853,2019-01-15 16:00:35.853,100002,,-1,1089.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,943f0e82-3873-47b6-8ab5-68679b4bbb06,meal_auto_filled,
2018-09-21 11:00:00.000,1.0,,2018-09-22 12:41:11.176,2018-09-22 12:41:11.176,100001,Banana,120001,105.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,15aa7578-aef7-4cff-a342-634ec1fbeec6,c5936c0c-8c30-4a54-a98e-7588ea3f8fc0,
