com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-11-28 21:07:09.000,2022-11-28 21:20:32.000,2022-11-28 21:20:32.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1201,2022-11-28 21:20:32.000,4f59ff5a-c2ed-8f07-540b-1b32ef527dd6,
2022-10-29 14:44:33.000,2022-10-29 14:58:10.000,2022-10-29 14:58:10.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1197,2022-10-29 14:58:10.000,4c6094f4-a6d0-6c8c-1cc5-c88a61091102,
2019-12-02 14:46:28.372,2019-12-02 14:59:31.867,2019-12-02 14:56:30.106,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1220,2019-12-02 14:59:29.049,20e2af47-4998-4914-a7af-e9ccf6997e31,
2022-08-01 15:24:33.000,2022-08-01 15:38:15.000,2022-08-01 15:38:15.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1239,2022-08-01 15:38:15.000,ffa12041-86dd-2f45-9b67-b75d53468cee,
2022-10-04 22:36:22.000,2022-10-04 22:47:28.000,2022-10-04 22:47:28.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1055,2022-10-04 22:47:28.000,6af4adf6-a0d6-803c-7581-bc9ded93163c,
2022-08-03 16:17:47.000,2022-08-03 16:31:50.000,2022-08-03 16:31:50.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1368,2022-08-03 16:31:50.000,34d25890-9179-0a23-b866-dccd17986ac4,
2022-10-11 22:14:26.000,2022-10-11 22:29:19.000,2022-10-11 22:29:19.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1305,2022-10-11 22:29:19.000,aba5af28-c411-71f7-129e-539303db8f90,
2022-07-05 22:08:57.000,2022-07-05 22:20:22.000,2022-07-05 22:20:22.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1187,2022-07-05 22:20:22.000,e1d58955-9e4a-0b84-82be-2145206c0fb2,
2022-10-15 01:10:27.000,2022-10-15 01:34:55.000,2022-10-15 01:34:55.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,2160,2022-10-15 01:34:55.000,a0792469-4ea7-8cbc-986b-8e329205058d,
2019-10-07 14:34:36.121,2019-10-07 14:46:59.813,2019-10-07 14:44:39.095,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1158,2019-10-07 14:46:36.229,c8ff9001-f01c-4efe-9db8-4ff618534dc9,
2019-12-30 23:13:57.668,2019-12-30 23:58:57.114,2019-12-30 23:24:02.988,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,4661,2019-12-30 23:58:41.875,aae770d0-9cee-4199-b6dd-d9186d7fe7f3,
